"id","geom","name","population","region"
136,"0101000020E61000001283C0CAA14503408B6CE7FBA9614840","Choisy-le-Roi","46154","Île-de-France"
137,"0101000020E61000002041F163CCDD0340BBB88D06F06E4840","Rosny-sous-Bois","46043","Île-de-France"
138,"0101000020E6100000E4141DC9E53FF53F158C4AEA04CC4740","Blois","45871","Centre-Val de Loire"
139,"0101000020E6100000F241CF66D5E7014039454772F9674840","Meudon","45748","Île-de-France"
140,"0101000020E61000004FAF946588631440A7E8482EFFD14540","Salon-de-Provence","45400","Provence-Alpes-Côte d’Azur"
141,"0101000020E6100000B515FBCBEE490440D93D7958A8754840","Livry-Gargan","45012","Île-de-France"
142,"0101000020E61000007E1D386744E90140E17A14AE47714840","Puteaux","44837","Île-de-France"
143,"0101000020E61000007E1D386744691340F9A067B3EA634740","Chalon-sur-Saône","44810","Bourgogne-Franche-Comté"
144,"0101000020E6100000F931E6AE25640340D7A3703D0A674840","Alfortville","44287","Île-de-France"
145,"0101000020E6100000F6285C8FC2751140C3F5285C8F7A4840","Châlons-en-Champagne","44246","Grand Est"
146,"0101000020E6100000280F0BB5A679FB3F3B70CE88D27E4840","Mantes-la-Jolie","44227","Île-de-France"
147,"0101000020E6100000431CEBE2369A0340FD87F4DBD7714840","Noisy-le-Sec","44223","Île-de-France"
148,"0101000020E6100000C8073D9B551F06C0E09C11A5BD414840","Saint-Brieuc","44170","Bretagne"
149,"0101000020E6100000EA95B20C712C034065AA605452774840","La Courneuve","43946","Île-de-France"
150,"0101000020E610000014AE47E17A940D40CE88D2DEE0B34540","Sète","43686","Occitanie"
151,"0101000020E6100000E63FA4DFBE0EFB3F72F90FE9B7674740","Châteauroux","43442","Centre-Val de Loire"
152,"0101000020E61000006891ED7C3FF51340B515FBCBEEC14540","Istres","43411","Provence-Alpes-Côte d’Azur"
153,"0101000020E610000072F90FE9B72F0C40E7FBA9F1D22D4940","Valenciennes","43405","Hauts-de-France"
154,"0101000020E6100000F7E461A1D63403403FC6DCB5847C4840","Garges-lès-Gonesse","42956","Île-de-France"
155,"0101000020E61000004FAF9465886313402041F163CCE54640","Caluire-et-Cuire","42847","Auvergne-Rhône-Alpes"
156,"0101000020E6100000E3A59BC420B0E2BF6666666666664640","Talence","42701","Nouvelle-Aquitaine"
157,"0101000020E6100000EC51B81E85EBB13F3D0AD7A3709D4540","Tarbes","42426","Occitanie"
158,"0101000020E6100000CDCCCCCCCCCCF8BFACADD85F76974740","Rezé","42368","Pays de la Loire"
159,"0101000020E6100000F241CF66D5A71340CA54C1A8A4DE4640","Bron","42216","Auvergne-Rhône-Alpes"
160,"0101000020E61000000000000000000240CDCCCCCCCCCC4540","Castres","41795","Occitanie"
161,"0101000020E61000007B14AE47E17AC43F3333333333D34640","Angoulême","41711","Nouvelle-Aquitaine"
162,"0101000020E61000003D0AD7A3703D06404C37894160254940","Arras","41555","Hauts-de-France"
163,"0101000020E61000006B2BF697DD131C40FD87F4DBD7C94540","Le Cannet","41471","Provence-Alpes-Côte d’Azur"
164,"0101000020E6100000B537F8C264EA14405F07CE19511A4740","Bourg-en-Bresse","41248","Auvergne-Rhône-Alpes"
165,"0101000020E610000023DBF97E6ABC09409A99999999594940","Wattrelos","40885","Hauts-de-France"
166,"0101000020E6100000A60A462575820240CA32C4B12E664840","Bagneux","40812","Île-de-France"
167,"0101000020E61000001CEBE2361AC00040EC2FBB270F734840","Saint-Germain-en-Laye","40806","Île-de-France"
168,"0101000020E61000003255302AA95310400E4FAF9465104640","Alès","40802","Occitanie"
169,"0101000020E6100000849ECDAACFD5F93F3EE8D9ACFA5C4940","Boulogne-sur-Mer","40664","Hauts-de-France"
170,"0101000020E6100000C6DCB5847C501840F2B0506B9A474640","Gap","40559","Provence-Alpes-Côte d’Azur"
171,"0101000020E610000068B3EA73B5950640228E75711BB54840","Compiègne","40542","Hauts-de-France"
172,"0101000020E6100000CCEEC9C342AD18406744696FF0AD4840","Thionville","40477","Grand Est"
173,"0101000020E610000048E17A14AE470540DA1B7C6132454840","Melun","39947","Île-de-France"
174,"0101000020E6100000A4703D0AD7A3084001DE02098A2F4940","Douai","39634","Hauts-de-France"
175,"0101000020E610000087A757CA32440440454772F90F714840","Gagny","39618","Île-de-France"
176,"0101000020E6100000D044D8F0F44AF8BFAE47E17A14BE4540","Anglet","39604","Nouvelle-Aquitaine"
177,"0101000020E6100000E25817B7D1001340E5F21FD26F474640","Montélimar","39415","Auvergne-Rhône-Alpes"
178,"0101000020E61000003D2CD49AE6DD1940B003E78C28C54540","Draguignan","39106","Provence-Alpes-Côte d’Azur"
179,"0101000020E6100000DE02098A1F63F53FD881734694CE4540","Colomiers","39097","Occitanie"
180,"0101000020E610000054742497FF1003409A99999999794840","Stains","38666","Île-de-France"
181,"0101000020E61000009E5E29CB10C708403D2CD49AE6554940","Marcq-en-Baroeul","38570","Hauts-de-France"
182,"0101000020E61000005839B4C876BEF73FEE7C3F355E3A4840","Chartres","38426","Centre-Val de Loire"
183,"0101000020E6100000E4839ECDAA0F174013F241CF66954640","Saint-Martin-d’Hères","38398","Auvergne-Rhône-Alpes"
184,"0101000020E6100000AF946588635D004082734694F6764840","Poissy","38313","Île-de-France"
185,"0101000020E6100000333333333333E53F3EE8D9ACFAAC4740","Joué-lés-Tours","38250","Centre-Val de Loire"
186,"0101000020E61000008716D9CEF75304400AD7A3703D7A4840","Villepinte","37280","Île-de-France"
187,"0101000020E610000052B81E85EB5102406666666666664840","Châtillon","37010","Île-de-France"
188,"0101000020E6100000EE5A423EE8D90140D8817346947E4840","Franconville","37010","Île-de-France"
189,"0101000020E610000001DE02098ADF164051DA1B7C61924640","Échirolles","36961","Auvergne-Rhône-Alpes"
190,"0101000020E61000004ED1915CFEC30240AC8BDB6800574840","Savigny-sur-Orge","36734","Île-de-France"
191,"0101000020E61000003D2CD49AE6DD124012143FC6DCFD4640","Villefranche-sur-Saône","36288","Auvergne-Rhône-Alpes"
